Model,Strategy,MAE,RMSE,R2
LSTM,Peak Clipping,20.472066193247965,43.22708368349313,0.5465288408908552
LSTM,Valley Filling,23.58562712388785,43.43123790730844,0.5422353905877053
LSTM,Load Shifting,20.50327126139278,42.17718705470041,0.5682890932257656
LSTM,Load Leveling,36.41851863986778,61.37211798935654,0.085928811969613
LSTM,ToU Optimization,21.123569227182724,43.04596956717991,0.550320814156619
LSTM,Price Based,21.42455461727601,42.9034101090319,0.5532943732932533
LSTM,Behavioral DR,21.30914298489839,43.796063337932885,0.5345125808230677
LinearRegression,Peak Clipping,22.104820804877342,43.360686473083874,0.5437214047964669
LinearRegression,Valley Filling,27.998090380144177,46.27321802597886,0.4803664257999606
LinearRegression,Load Shifting,22.090318714418068,42.63189279418795,0.5589304997028081
LinearRegression,Load Leveling,38.43294630717672,61.04882523038399,0.09553363784856495
LinearRegression,ToU Optimization,22.70256313073629,43.27731615618226,0.5454743069762582
LinearRegression,Price Based,23.531013537784062,43.67524961940848,0.5370771811567618
LinearRegression,Behavioral DR,20.996783131196253,42.752820945347274,0.5564247058631855
RandomForest,Peak Clipping,20.215591307755382,43.280648810448874,0.545404301003205
RandomForest,Valley Filling,27.16029703833399,46.670020668529475,0.471416279077569
RandomForest,Load Shifting,20.161694908174436,41.96447044243185,0.5726326976622516
RandomForest,Load Leveling,36.68874378729313,61.59714913988584,0.07921333254630902
RandomForest,ToU Optimization,21.051859466387132,43.02652822757675,0.5507269098559573
RandomForest,Price Based,21.574465621562013,43.036870256019384,0.5505109057449468
RandomForest,Behavioral DR,20.6630437018731,43.59231472921347,0.5388335993472603
SVR,Peak Clipping,23.10900504875733,43.883632978292034,0.532649248145166
SVR,Valley Filling,28.379943282276326,46.277855968122246,0.480262255338782
SVR,Load Shifting,23.130986339342034,43.183160662178686,0.5474499164039235
SVR,Load Leveling,39.41021337197481,61.31353273868515,0.08767310666729611
SVR,ToU Optimization,23.67050069725188,43.694176899192264,0.5366758660720741
SVR,Price Based,24.529828270446952,44.10631829800937,0.5278941174049587
SVR,Behavioral DR,21.623390028592752,43.1346782672373,0.5484655157700191
kNN,Peak Clipping,32.05263071058563,59.10613006066573,0.15218158078463417
kNN,Valley Filling,33.681848013989296,58.90849854924369,0.15784175545303702
kNN,Load Shifting,31.86536270330493,58.249035696972,0.17659162958874952
kNN,Load Leveling,37.60929330419578,65.10692159061936,-0.028708006725428392
kNN,ToU Optimization,33.053634618326065,59.80906744044252,0.13189579677497676
kNN,Price Based,33.759204630001946,60.080678362828735,0.12399325014474027
kNN,Behavioral DR,31.94656933051399,59.796329053261445,0.13226554237748556
