Model,Strategy,MAE,RMSE,R2
LSTM,Peak Clipping,20.52518372344065,42.35439448837221,0.5646538060198738
LSTM,Valley Filling,24.335239471207842,43.241476018037474,0.5462268267569781
LSTM,Load Shifting,20.55796965239552,41.477510352285826,0.5824935798830353
LSTM,Load Leveling,37.46288001971501,60.98486156259305,0.09742794713555591
LSTM,ToU Optimization,21.275953857256273,42.25411055141638,0.5667129333081387
LSTM,Price Based,21.865344877791394,42.34737807701046,0.5647980326112063
LSTM,Behavioral DR,20.302752225868414,42.40337043535107,0.5636464102213972
LinearRegression,Peak Clipping,21.268006727617433,44.093210891410024,0.5281746742285685
LinearRegression,Valley Filling,25.0156478137915,44.69471037496738,0.5152140194036219
LinearRegression,Load Shifting,21.142502290668457,42.80047454438363,0.5554353096432963
LinearRegression,Load Leveling,36.21631166515524,61.60999229000989,0.07882932015543875
LinearRegression,ToU Optimization,21.611146174225947,43.59752390038976,0.5387233763287881
LinearRegression,Price Based,21.80468744827693,43.44709973983241,0.5419009625659396
LinearRegression,Behavioral DR,22.135445137599657,44.47340724523157,0.5200029103999442
RandomForest,Peak Clipping,20.215591307755382,43.280648810448874,0.545404301003205
RandomForest,Valley Filling,27.16029703833399,46.670020668529475,0.471416279077569
RandomForest,Load Shifting,20.161694908174436,41.96447044243185,0.5726326976622516
RandomForest,Load Leveling,36.68874378729313,61.59714913988584,0.07921333254630902
RandomForest,ToU Optimization,21.051859466387132,43.02652822757675,0.5507269098559573
RandomForest,Price Based,21.574465621562013,43.036870256019384,0.5505109057449468
RandomForest,Behavioral DR,20.6630437018731,43.59231472921347,0.5388335993472603
SVR,Peak Clipping,20.81083878473001,43.231318925688406,0.546439977423385
SVR,Valley Filling,26.330800687011386,45.60377886622541,0.4952928473278776
SVR,Load Shifting,20.804349296392576,42.26470255499218,0.5664956785455342
SVR,Load Leveling,37.64251106215236,61.14344889559061,0.09272767891167322
SVR,ToU Optimization,21.21861041261318,42.70856895316555,0.5573424900613778
SVR,Price Based,21.790118768525204,42.79179913731666,0.5556155127286175
SVR,Behavioral DR,20.50675650356138,43.02371195434075,0.5507857216831089
kNN,Peak Clipping,32.05263071058563,59.10613006066573,0.15218158078463417
kNN,Valley Filling,33.681848013989296,58.90849854924369,0.15784175545303702
kNN,Load Shifting,31.86536270330493,58.249035696972,0.17659162958874952
kNN,Load Leveling,37.60929330419578,65.10692159061936,-0.028708006725428392
kNN,ToU Optimization,33.053634618326065,59.80906744044252,0.13189579677497676
kNN,Price Based,33.759204630001946,60.080678362828735,0.12399325014474027
kNN,Behavioral DR,31.94656933051399,59.796329053261445,0.13226554237748556
