epoch,loss,val_loss,lr
0,0.046693067997694016,0.02734788879752159,0.001
1,0.026739582419395447,0.020118480548262596,0.001
2,0.020667394623160362,0.0145820127800107,0.001
3,0.017159905284643173,0.012212363071739674,0.001
4,0.014703418128192425,0.010934867896139622,0.001
5,0.01302020438015461,0.009752800688147545,0.001
6,0.011778043583035469,0.008717595599591732,0.001
7,0.01109944935888052,0.00844492856413126,0.001
8,0.010616025887429714,0.009241108782589436,0.001
9,0.010140393860638142,0.00728286849334836,0.001
10,0.00994445662945509,0.0069813295267522335,0.001
11,0.009497541934251785,0.010057658888399601,0.001
12,0.009361840784549713,0.007867582142353058,0.001
13,0.009282790124416351,0.007122051436454058,0.001
14,0.009239672683179379,0.00848457496613264,0.001
15,0.009133397601544857,0.006941227708011866,0.001
16,0.008980447426438332,0.006419370416551828,0.001
17,0.00891063641756773,0.006455764640122652,0.001
18,0.00880720280110836,0.006279016379266977,0.001
19,0.008819056674838066,0.006515797693282366,0.001
20,0.008832802064716816,0.006552522536367178,0.001
21,0.008738490752875805,0.007773037534207106,0.001
22,0.008548179641366005,0.006662354338914156,0.001
23,0.008610486052930355,0.006175662856549025,0.001
24,0.008599838241934776,0.005993949715048075,0.001
25,0.008594855666160583,0.006473381072282791,0.001
26,0.008573652245104313,0.007038557901978493,0.001
27,0.008584389463067055,0.006204113829880953,0.001
28,0.008525512181222439,0.006507829297333956,0.001
29,0.008526647463440895,0.006480065174400806,0.001
30,0.008501417934894562,0.0058876220136880875,0.001
31,0.008492558263242245,0.0058298357762396336,0.001
32,0.008352392353117466,0.006144985556602478,0.001
33,0.008409877307713032,0.006102421786636114,0.001
34,0.008548048324882984,0.006174551788717508,0.001
35,0.008379184640944004,0.0058041904121637344,0.001
36,0.008396245539188385,0.006169972475618124,0.001
37,0.00841879565268755,0.005942372605204582,0.001
38,0.008325821720063686,0.006088163238018751,0.001
39,0.008162831887602806,0.006251052487641573,0.0005
40,0.008124657906591892,0.005753627512603998,0.0005
41,0.008064789697527885,0.005887963809072971,0.0005
42,0.008064047433435917,0.005717700347304344,0.0005
43,0.008054694160819054,0.005668956320732832,0.0005
44,0.008092394098639488,0.005639705341309309,0.0005
45,0.008064394816756248,0.005578143987804651,0.0005
46,0.008107967674732208,0.005974766332656145,0.0005
47,0.008092730306088924,0.00631782365962863,0.0005
48,0.008013158105313778,0.005740657914429903,0.0005
49,0.008066121488809586,0.0059191943146288395,0.0005
50,0.008126232773065567,0.005564926657825708,0.0005
51,0.00800290796905756,0.006105085834860802,0.0005
52,0.007971735671162605,0.006066689733415842,0.0005
53,0.007943117059767246,0.005592606961727142,0.00025
54,0.007845103740692139,0.005696618929505348,0.00025
55,0.00790560431778431,0.0060925534926354885,0.00025
56,0.007846225053071976,0.005802859552204609,0.00025
57,0.007858406752347946,0.0055996123701334,0.00025
58,0.00790461990982294,0.0055412426590919495,0.00025
59,0.007909050211310387,0.00613563135266304,0.00025
60,0.007838387973606586,0.005862295161932707,0.00025
61,0.0077712200582027435,0.00572099769487977,0.000125
62,0.00779742980375886,0.005795323755592108,0.000125
63,0.007784879766404629,0.00568472919985652,0.000125
64,0.007803414482623339,0.005618206690996885,0.000125
65,0.0077416179701685905,0.0056355479173362255,0.000125
66,0.007733683101832867,0.005691848695278168,0.000125
67,0.007808886002749205,0.00578052643686533,0.000125
68,0.007792595773935318,0.005578079726547003,0.000125
69,0.007776862941682339,0.005704858340322971,6.25e-05
70,0.0077634635381400585,0.005855059716850519,6.25e-05
71,0.007679974194616079,0.005905008874833584,6.25e-05
72,0.0077928160317242146,0.00563160702586174,6.25e-05
73,0.00769199151545763,0.005708474665880203,6.25e-05
74,0.007749953772872686,0.0055853803642094135,6.25e-05
75,0.007729111704975367,0.005632167216390371,6.25e-05
76,0.007753548212349415,0.005641678348183632,6.25e-05
77,0.007657232228666544,0.00564527977257967,3.125e-05
78,0.007696833461523056,0.0056938366033136845,3.125e-05
79,0.007737043779343367,0.005690978839993477,3.125e-05
80,0.007691013626754284,0.005725253373384476,3.125e-05
81,0.00770419929176569,0.005721498746424913,3.125e-05
82,0.007651664316654205,0.0056775715202093124,3.125e-05
83,0.0077314842492341995,0.0055481442250311375,3.125e-05
